learn_best,count
Flashcards,2
Videos and practice problems,2
Office Hours,2
Studying,2
It helps me feel best learning the material when there are comfortable instructor office hours that I can go to to talk out the material.,1
Start earlier in material if I’m missing core concepts or focus if I’m distracted.,1
Just rewatching lectures and redoing how to do something,1
Seeking other instruction from online videos and lecturers.,1
Guided notes or a good slide show,1
Having lots of practice problems to do with solutions available,1
spam questions,1
I will try and find a khanacademy video on the topic,1
"Asking questions on the Chemistry Community, asking the Professor after class, and going to office hours.",1
"It is helpful for me to do practice problems related to the concept, and for someone new to explain the concept to me.",1
spam practice,1
"Watching videos online like from the Ochem Tutor, but also just taking advantage of discussion and office hours.",1
"I usually try to find videos or explanations from other sources, which helps me understand the material better. I also try to do practice problems to understand the application.",1
Practice and trying to explain the concepts to others.,1
"Watching helpful videos and explaining the content to myself! Teaching is the best form of learning, and I often teach myself with my own words and strategies that make sense to me.",1
Going through a lot of practice problems from the book or watching YouTube videos to understand mechanisms,1
Going to office hours helps.,1
Reviewing on foundational concepts before tackling more complicated ideas.,1
I re-read the notes and make a new cheat sheet in my own words and try to attempt easier practice problems before attempting harder ones while talking through it with my friends.,1
Looking for other ways that the content can be explained,1
Asking my peers,1
Going over concepts that I struggle with. Looking at past work and applications.,1
"For organic chemistry specifically, I find flashcards to be my go-to method of learning.",1
Group studying,1
When my instructors give examples and walk through their process of understanding and doing the problem.,1
"Practice problems, like the ones in the syllabus, and going to the UA sessions.",1
Doing more practice problems and reviewing lectures.,1
Watching videos online,1
Going to office hours and studying with peers,1
Go to TA office hours,1
Spending time to understand why I did not understand it,1
Practice problems and the problem sets allow for trial and error as well as opportunities to collaborate and hear the reasoning of my peers.,1
Seeking a variety of resources to explain the material in different ways in order to find the explanation that clicks for me.,1
Finding online resources such as youtube and Khan Academy to help me further practice or review a concept I am confused on from class.,1
Starting learning the material early so the concepts have time to sink in and I don't get as stressed or frustrated because I know I have time,1
PLF sessions and ChatGPT giving me analogies for me to understand,1
"Reading the textbook and looking at drawn-out 
mechanisms.",1
Working in groups,1
Reviewing with peers and building off of their expertise,1
A youtube tutorial,1
"Working through the problem with someone who knows how to do it- I usually like asking for “clues” on how to start a problem if I’m totally lost so I can still find my way to the answer on my own, just with some guidance. I learn best with help from other people.",1
Trying practice problems.,1
Asking questions and practice.,1
Watching YT videos on the subject.,1
"I like to go over many different types practice problems relating to a mechanism (or group of mechanism), to see different ways it can be applied and to find patterns of when I would be expected to use that mechanism. I also like to repeatedly draw these mechanisms to help gain an understanding of how it functions.",1
Applying the concepts myself on a problem,1
"Going to office hours, struggling through it with other people, or taking five minutes to take a break and then come back to the problem to try and find a new way to think it through.",1
Seeking help from TAs or friends.,1
"Ask my friends to explain it, watch youtube videos on it, and simply practice more.",1
"Problem Solving Sessions and/asking my TAs during discussion. Unfortunately, I can't do either this quarter.  :(   The chemistry department should hold PSS with TAs and LAs because office hours are so full I can't get any help. We need more capacity. Additionally, discussions should be in person.",1
ask the professor and/or TA!,1
Doing practice problems is the most helpful as I learn through examples and see how topics are applied to questions.,1
"I really need to just ask questions and then practice a bunch with the problems. My issue tends to be trying to figure out what questions I have, and a safe 1-1 place I can ask them, because I get stressed when everyone is around me.",1
Doing the readings on the foundational topics.,1
"Seeing someone else do it first, then trying on my own.",1
Youtube videos and consulting with friends.,1
Youtube videos online or going to office hours!,1
doing a bunch of practice problems,1
I am never confused >:),1
Learning from friends,1
"Ai, I talk to it to see if I understood the topics correctly.",1
Reading the textbook,1
When material is confusing/challenging it helps for me to ask someone who is already knowledgable about the topic for help and seek starting point guidance from them. It also helps me to watch additional videos on youtube or sometimes turn to AI for tips on certain problems.,1
reviewing with others!,1
Practice problems and online videos,1
Talking with friends and talking to my TA.,1
Practice problems and detailed explanation with solutions,1
"rewatching lectures, re-writing notes, and doing more problems",1
Problem Sets + Review Sessions + Practice Exams,1
"Repetition is my strong suit. However, it has been difficult for me to undergo a repetitive study habit because of a lack of time during this fall quarter. I am finding new effective ways to study.",1
Extra practice,1
Lots of videos and office hours,1
Reviewing lecture slides or going to office hours,1
Having lots of practice problems and having chances to practice with the professor in class helps me clarify and better understand confusing concepts.,1
Using other supplemental materials like reading the textbook and watching YouTube videos to hear alternative explanations for the same concept to see if one sticks.,1
"Having a lot of practice problems or practice lessons, to learn about the type of problems I can expect on the exam.",1
Asking someone knowledgable and approachable for help,1
Practice problems and examples of the concepts being applied in real world instances or questions that reflect what the professor will be testing us on helps me feel best when material is confusing or challenging because it helps me prioritize and focus on the intended material.,1
Having an immense amount of examples to look at for reference,1
"Completing multiple practice problems allows me to recognize patterns and figure out what I must do to succeed. Additionally, participating in peer learning/attending office hours really allows me to get a more digestible explanation and subdue my confusion.",1
Seeing other practice problems to help me recognize patterns help me.,1
"I am still not sure, as I am still on the journey of finding the best study method. However, I feel what helps me best reflect on my mistakes is by looking over what I did wrong and trying more practice problems similar to that one.",1
Reading text book,1
To take a step back and take a break before going back into the problem,1
Just constant practice problems and going to office hours.,1
Going to office hours/watching video for help,1
"Reviewing it multiple times, and going back to it later on. Doing practice problems and watching videos on the concepts.",1
Usually what helps me learn the best is going to office hours and having someone explain the concepts to me. When ever I try to understand by myself I get frustrated because I don't understand even with those resources sometimes. It is helpful when an expert like a Professor or TA can explain it or show me the right approach.,1
Office hours,1
Reviewing it on my own again and explaining it to others.,1
talking about difficult ideas with my peers,1
someone teaching me,1
Practice exams and practice questions usually help me learn best when material feels confusing and challenging.,1
"I usually try to look for other resources that explain the material in different ways, or I seek out practice problems.",1
Completing problems and seeing which steps lead to the right answer.,1
Office hours. Asking questions directly to the professor and listening to what questions other students might have,1
making my notes,1
Doing practice with other people,1
Organic Chemistry Tutor on YouTube and other online resources,1
Practicing the material and looking into outside resources helps me learn best when material feels confusing or challenging.,1
Reasoning through worked examples,1
"I go back to the basics. I have the tools and the capacity to understand anything that is presented in class. So when I feel like I am struggling, I go back to the fundamentals and build up to what is new.",1
I just do practice problems over and over again until they click,1
"What helps me most is doing more practice problems and getting help from other people who have a good grasp on the material, friends, TAs, professors, etc.",1
"This quarter, I'd say going to office hours and interacting with the TA or LAs during discussion. I always asked friends for help, and still do, but sometimes we're all confused or not sure, Going over extra practice problems instead of writing lecture notes helps.",1
Watch youtube videos,1
Being given an example or asking if the way im interpreting the information is correct,1
"Asking peers, rereading the textbook, going over the correct solution",1
"Starting with the questions, or problems fro homework. It gives me a sense of what to look for or at least know where and how does the new material get applied.",1
Video resources and alternative explanations,1
"Repetition, by doing more and more problems I grow in confidence.",1
Asking questions and reading the textbook helps me learn,1
I like working things out on my own or using videos but this often takes a while.,1
Going to office hours held by TAs and the professor helps me learn best. Also reviewing lecture material and reading the textbook if I cannot understand the lecture helps.,1
Explanations from my patient friends.,1
Doing practice problems and exams until I feel like I can do problems without my notes/help.,1
I usually do more practice questions that make me think about different exceptions to rules.,1
"I have always believed that when professors provide their own practice problems or practice exams, that's when I feel the most supported and perform best (specifically with answer keys as well to understand my mistakes).",1
Understanding the material first is a must when material is confusing. Then I am able to employ study strategies to memorize facts and material in order to apply my understanding of the material.,1
Google,1
Examples and practice problems.,1
I ask my teachers and TAs. I consult the internet and ChatGPT (on concepts only).,1
practice problems,1
"Going over practice problems more than redoing notes is helpful. Referring to lecture slides to reference something is good, as well as looking up examples of calculations or formulas which I forgot from 20L. Asking friends is good, but I haven't had to ask much from classmates yet.",1
Youtube videos,1
"Office hours, videos, and practice",1
I go to office hours and discussions to get one-on-one guidance/ help from the TA. This helps clear my mind about some of the confusions I had.,1
Professors going over most commonly made mistakes and explaining why it’s wrong.,1
I like to go to office hours and ask for one-on-one help. I also like to try a lot of different practice problems.,1
"When material feels confusing or challenging, I like to figure out the why of it. For example, I have tried deriving important equations and explaining models in my own words in previous chemistry classes.",1
Doing practice problems,1
office hours,1
Doing problems step by step with someone to help me.,1
Seeing someone go through problems (more examples) usually helps me learn best when material feels confusing or challenging.,1
doing practice problems and using outside resources such as youtube videos to better understand the material,1
Being able to ask questions,1
Watching Youtube videos and completing a lot of practice problems.,1
Having someone throughly explain it step by step.,1
I like working with others. Asking for help from the professor or TAs as well as forming study groups. Talking out my thoughts with others helps a lot.,1
"I take a step back and try to break material down into simpler terms for me to understand broader concepts first, before moving on to a more complex problem. If material is challenging, I continue forward. I enjoy a challenge.",1
Watching videos or finding websites that explain the concept(s).,1
"Repetition, multiple sources of help and explanations, and perserverance.",1
Going to office hours or using alternate resources such as youtube videos to better understand topics,1
Many many practice problems,1
I like doing practice problems and reviewing old notes when materials begin to feel confusing.,1
When someone goes through a problem with me and details the things to look out for because I know this class is more keen on pattern recognition rather than memorization. It's also important that they define why or what something is in the middle of doing it.,1
Completing practice problems and watching videos that are related to the subject.,1
Working in groups.,1
Watching review videos of the concept and then attempting practice problems.,1
Going to office hours or asking a friend/classmate,1
slightly homoerotic one-sided academic rivalry,1
Practice problems in the textbook,1
Going over it and watching videos 🤩,1
I would reach out to my friend for help.,1
Doing lots of practice problems,1
"Seeking out help and explanations help me learn best when material feels confusing or challenging. I think that reviewing notes, lecture videos, and doing practice problems also help me learn best in these situations.",1
Help from others,1
"seeking help from a different source (video, examples, or friend) or reviewing in office hours",1
"Watching videos, making flashcards and reviewing",1
"Asking a friend, TA, or professor to explain.",1
I love using materials such as YouTube or O-chem as a second language to help explain any difficult topics. I also do a lot of practice problems to get repetition for different mechanisms.,1
"I like to watch videos to review the material before and after class, just in case I missed something during the lecture. I find the post-assessment questions and the videos to be extremely helpful and hope there will be many of them in the future.",1
"Active discussion about the material, especially verbal and practice.",1
"I think asking questions, tackling problems with classmates and asking for help from TAs.",1
I search online for more explanations of the material or go to office hours to ask the professor for help.,1
Attending office hours or watching YouTube videos on the topic.,1
"I will go back through the lectures, go to office hours to ask questions, or ask one of my peers if they understand the concept.",1
Reading the textbook or watching YouTube videos,1
Watch Youtube Videos,1
"Usually creating a mind map, questioning myself to find where I'm stuck, and also asking a friend for help.",1
"Going over slides, doing problems",1
"More time studying, outside resources, practice questions",1
"Assessing specifically where I am lacking, then going to TA's for help.",1
"When the material feels confusing, I go to office hours and get my questions clarified! Beyond that, i also challenge myself with additional practice problems and I found that really helps to reinforce my knowledge.",1
"Doing practice problems and then comparing it with the solution with a step by step to see what I'm doing right or wrong, and what unnecessary steps I am doing.",1
Watching videos on the topic and checking my understanding with quizzes and then being able to teach it to someone else.,1
Having review session and TA/LA that can support my learning. Office hours are super helpful for me.,1
watching videos,1
Rewatching lecture and doing problems over and over again,1
I use AI to explain the subject to me or watch videos/use websites. If I understand it to a good level I have AI give me more difficult questions on the topic to make myself understand it better.,1
"I read it again, and then again, and if I still don't get it, I'll do some practice problems.",1
"Doing more practice problems and watching YouTube videos, rewatching lectures, or reviewing notes/slides",1
Encouragement from others,1
Asking for help.,1
Working with others to go over missed problems and then attempting similar problems on my own.,1
People around me,1
Practice problems all the way.,1
Someone explaining the concepts to me in-person,1
I watch videos related to the concept I am struggling with.,1
Explaining concepts to myself using my own words,1
"I usually reread the lecture notes and the textbook chapters. If I still don't understand, then I try to watch some youtube videos on the topic or asking my peers. Lastly, if I'm still stuck and not grasping it, I email the professor asking them for help.",1
"Talking to a friend, rewatching lectures, watching YouTube videos.",1
Giving up completely,1
Definitely asking questions to my peers or during discussions.,1
"Spending more time studying, asking friends for help,",1
Walking through practice problems that properly reflect the exam difficulty level.,1
I try to stay calm and do practice problems. It helps when I go through my mistakes and understand them.,1
When adequate practice questions are available so I can practice until I feel confident.,1
Doing a lot of practice problems to start getting a better understanding of the material.,1
I normally study with friends and pay attention to their explanations of certain problems that I find difficult.,1
Repetition and watching YouTube videos.,1
I find practice problems online and use outside resources such as videos to explain concepts.,1
"I usually attend office hours. However, sometimes it is super crowded, and I can't answer my questions (and it instead wastes time).",1
"Going to a difference source to explain it for me. Sometimes I just might need a different explanation for the concept to click. If I don't understand something during a lecture, I can read the textbook, ask a friend, go to office hours, etc.",1
"It's best for me to review lecture recordings, redo the same problems multiple times to understand, or the textbook can be useful when it comes to rereading and understanding more in depth.",1
Practice problems with an answer key and a detailed breakdown of how to find the solution,1
searching for other supplemental materials on this topic,1
"I really like watching videos or reading the textbook if I am lost on a concept. Afterwards, I try doing practice problems until I get a handle on how to solve the specific type of question.",1
"Going back to the textbook, talking out the concept to myself or to other people, watching youtube videos about a certain concept to see if I understand the material when it is taught in a different way.",1
"constant practice, getting help from instructors or TA's, videos on the concept",1
I typically ask a lot of questions to help me gain a better understanding.,1
"When I become confused in a class and it affects my grade, I usually pour all of my time and effort into that class by going to office hours, rereading notes, and completing every practice problem. I also seek help from upperclassmen and my friends.",1
"Practice problems
Videos
Rewatching lectures",1
Struggling with the material and exhausting all my questions/hypotheticals,1
"Practice problems with answers and worked solutions provided, and asking clarifying questions",1
I just have to do a bunch of practice problems until the material feels familiar.,1
Practice problems and flash cards!,1
Using online resources,1
"I think that talking to peers about the material usually helps me because we are able to share ideas, and I can actively recall the information.",1
Studying with peers and others in the class. Being able to interact with others and bounce ideas off of each other improves morale and aids in learning.,1
Reading the textbook and doing the problems at the end of each chapter at my own pace.,1
Study groups with friends or talking to someone who did understand it!,1
"Discussing it with a friend, particularly one that's knowledgable about chemistry.",1
"I review and/or rewatch lectures, complete all of the problem sets we have been assigned, and ask questions in class or office hours.",1
I learn best through a surplus of practice problems.,1
When the proff. does in class examples of problems,1
I feel that practice problems and a visual walkthrough of it is how I learn the most.,1
..,1
"Textbook problems and practice, however I tend to opt out of textbook access due to finances",1
Looking at alternate resources and going to office hours,1
Review sessions,1
Someone to slowly walk through the material with me after learning about it in lecture.,1
Going over notes and reexplaining the material to myself (in a google doc) in my own words.,1
"I try to find some other place to explain it to me, whether it be some other student or Youtube.",1
Practice problems that have detailed answer keys.,1
Practicing problems and asking multiple sources for their help and knowledge on the submit.,1
looking at videos and doing practice problems.,1
Having access to the solution and explanations of how it was reached,1
studying with people.,1
Practice problems and going to office hours.,1
Knowing that I am not the only person to have ever struggled with the given topic.,1
Watching youtube videos and doing practice problems.,1
Detailed solutions to problems where I can follow along each step and correct my mistakes. I also like directly asking my professor/TA for help.,1
Going to office hours and doing practice problems,1
"The best method for me is to seek help from an instructor, such as a TA or the professor and get direct one on one help on a certain problem, which I can then apply to other similar questions.",1
I learn best when I practice and find more explanations of the material.,1
"I have friends explain it to me, or I talk to a professor or TA in person to clarify concepts. Before that, I rewatch lecture videos, watch YouTube videos, and do textbook practice problems.",1
Finding outside resources/videos to do content review with to explain difficult concepts.,1
"I reread the textbook, take new notes, find videos online, and go to office hours",1
Start going through what I understand from the problem and going through possible ideas.,1
Watching online tutorials and practicing a lot,1
Piecing together my notes,1
I usually watch videos to try and hear the topic in a different manner.,1
Reviewing where I went wrong and trying different studying habits,1
Reviewing the concepts and ideas behind the problems asked.,1
Lots of practice questions and exams that give answer keys explaining how each answer was found,1
Practice Problems,1
What helps me learn best when material feels confusing or challenging is reading a textbook or watching videos before approaching the problem because understanding the concepts before approaching problems helps me recall the material more.,1
I feel that going over material with others helps a lot when topics are confusing as others around me may understand the content better and can lead to my own understanding of the material.,1
Doing many practice problems.,1
"Review, asking questions, practice questions",1
Easy exams.,1
"Having an expert in the subject, a TA or Instructor, answer my questions an/or walk me step-by-step through a problem.",1
Watching YouTube videos of respected tutors is helpful to me.,1
Trying different approaches to learning and also doing practice problems helps me best when the material feels confusing or challenging.,1
"I think watching videos, collaborating with peers, attending office hours, and completing practice problems all help me understand the material when it feels confusing or challenging.",1
"I will refer to all the class resources first, lecture notes, recording, and textbook. Then I may refer to practice questions and ChatGPT to explain concepts to me for specific questions.",1
"Going to office hours, watching YouTube videos, and lots of PRACTICE help me when material feels confusing.",1
Active recall methods and practicing test problems help a lot.,1
Taking a new approach and working at it day by day,1
Going over my mistakes and practicing them over again until I get them right.,1
"What helps is going step by step on problems that I don't understand, finding and understanding the concept of the topic.",1
The most effective way for me to study novel chemistry topics is by completing practice problems and going to office hours to get help clarifying where I was incorrect in my processes.,1
"When the material feels confusing I utilize my AAP PLF session, YouTube videos, my TAs office hours, an extensive amount of practice problems and my friends who are in the class",1
Grinding practice problems.,1
Studying with others,1
"Usually, when I am able to relate the material to something I am confident in.",1
I like drilling practice problems!,1
Videos and images help me learn best. Review also helps me learn best when it’s confusing.,1
Asking for help!,1
Working with other people.,1
I like communicating with someone and finding ways to reword the problem to fit my understanding of it.,1
Talking about it.,1
I usually find videos online explaining concepts or look up solutions to problems.,1
"Learning the material in different ways (videos, textbook readings, explaining concepts to myself...), doing lots of practice problems",1
Consistent Practice,1
Going back to the textbook to learn concepts,1
Asking the teacher or my peers questions and also turning to the internet to explain.,1
Attending office hours and talking to my peers in the same or similar courses helps me gain a better understanding of the course material.,1
saying it as a story and simplifying it,1
Asking other people for help or walking through the problem with other people,1
Watching Audio Visual Modules and taking the assessments,1
going to office hours; watching outside videos to review the concepts,1
reviewing lecture notes,1
Additional videos.,1
Usually I would require more explanations on topics I don’t understand and to go over concepts more slowly.,1
"I like reading the textbook and retaking notes from the lecture slides and the textbook. I like to then do homework problems to apply the knowledge. I like having a study buddy that understands the topic better than me so that I don't lead myself astray and solidify the wrong information.
simple straightforward notes help. like a key of equations and when to use them.",1
"I try to study with others and explain the material to them as if I am the one teaching, because that drills the content into my head better. If I really don’t understand then I seek help through YouTube Videos or trying to ask the professor questions.",1
"Studying in groups, doing practice problems, and the white board method.",1
I usually just look and relook at my notes attempting to explain it to myself. If I can explain why things happen then I understand it. I also try to summarize main concepts rather than the small things.,1
"I usually watch organic chemistry tutor, or khan academy.",1
"When I talk to someone (instructor, TA, LA, or classmate) and have them explain to me",1
Youtube Videos,1
Lots of practice problems and going to office hours.,1
"I rewatch lectures, review the textbook, and look for online resources that explain challenging topics from a different perspective.",1
I tend to do practice problems until I feel confident in my ability.,1
"putting in the work after hours and researching, asking peers",1
"Going to plf, asking questions, getting a tutor, practice problems.",1
"Taking things one step at a time; not trying to take in everything at once, but going through each step/component and understanding that, and then after going through each part slowly, then finally thinking about the whole again to understand. Going one piece at a time also helps things from feeling overwhelming and discouraging.",1
Usually doing more practice problems to build familiarity and understanding of the question and material.,1
Extra examples that actually apply to the concepts that we're learning and don't reach beyond our knowledge just for the fun of it.,1
Study the notes and watch videos on the topics. (Also going to office hours help.),1
"Attending office hours, connecting with peers, or looking for help online are all tactics I use to understand when materials feel confusing or challenging.",1
Seeking assistance from others who do understand the material.,1
Instructional videos that teach the concepts and the steps to solving problems related to the concepts.,1
Reviewing lectures and doing practice problems.,1
Doing practice problems helps me feel more confident on confusing or challenging materials.,1
"Seeking support through TAs, peers, or other campus resources.",1
problem walkthroughs with thought process,1
"Attending TA office hours, PLFs and talking with other students as well as practicing on my own with additional resources outside of this class.",1
"Reading the textbook, solving more practice problems, revisiting the notes, going to start going to the step-up sessions, watching viddeos online",1
"Having support, more problems, and consistent/accessible help",1
I usually watch videos online that explain concepts in more detail. It helps when there are visual aspects in those videos as well.,1
"Office hours, peers, online resources, or AI learning help like ChatGPT.",1
Working with other students and explaining concepts to them.,1
I usually try to take a break and then return instead of powering through.,1
Finding explanations online or taking a break and trying again.,1
By doing practice problems and connect the dots where I am messing up.,1
To ask other on the process of solving a a question and to seek out answers to understand the concept as a whole.,1
Working with others who can explain concepts in a different or more in-depth way usually helps me understand things a lot better and then doing several practice problems until I feel confident also helps me.,1
"Using tools to learn it, such as KhanAcademy and Google.",1
Going through example problems and practices problems help me learn best when material is confusing or challenging,1
"Working with peers on the problems, then consulting the instructor when necessary.",1
Reviewing the lecture slides.,1
Doing many exercises until i get everything right after studying notes and theory.,1
Taking a step back and trying to find the root cause of what's confusing and then finding secondary sources online to explain that root problem,1
Trying to use various resources to develop intuition for why things are done a certain way,1
Practice a lot and ask questions.,1
Practice problems with answer keys that worked out the problems step-by-step that I can reference.,1
YouTube explanation vids,1
"Having tutoring!!!! But I am not eligible for Peer Learning, so I feel left behind. Do they offer similar tutoring for people who don't qualify for AAP? AAP gives extra practice problems similar to what will be tested on, and students not in AAP get left behind.",1
I usually review practice problems or worked solutions which can help with the process of solving questions or reviewing concepts of the material.,1
When we can ask questions and get quick answers,1
Rewatching lecture videos slowly to carefully follow along with the professor's explanation and make sure I understand the topic with my own logic,1
Going to problem solving sessions or in person office hours,1
"Office Hours, Review Session, Problem Solving Sessions. Everything that Dr. Riu is doing",1
Just practice and watching videos,1
I go back to lecture videos and rewatch them and do practice problems. I also highly benefit from someone explaining a topic to me and going very slow and in depth.,1
I usually do practice problems and study those over and over again.,1
"I need to push through and look at new solutions, and not surrender to not knowing the material",1
I watch videos or try to read through notes and old practice problems. I also try to reach out but I don't always plan accordingly to ask questions and also naturally struggle to want to ask for help.,1
"Rewatching lecture, working through practice problems, asking for help from instructor",1
Practice problems and looking at the steps to solving the material.,1
Doing practice problems.,1
Doing practice problems and applying concepts,1
The resource that helps me learn the absolute best when material feels confusing or challenging is reaching out to someone who knows the material and is able to explain it to me.,1
"Doing practice problems, and having people explain the methods to me.",1
Having extra tutoring outside of class and outside of office hours.,1
"I rewrite notes, homework problems, and discussion worksheets by hand. I then go in and highlight/annotate parts I dotn understand and clarify.",1
Usually I try to ask for help or I try to explain the topic to myself,1
