,course,question,pct_agree_base,n_base,time,pct_agree_clean,n_clean,diff
432,Chemistry 30A,mistakes_are_learning,90.0,20,w10,94.73684210526316,19,4.736842105263165
305,Chemistry 30A,at_least_c,85.0,20,w10,89.47368421052632,19,4.473684210526315
428,Chemistry 30A,challenges_are_growth,80.0,20,w10,84.21052631578947,19,4.2105263157894655
521,Chemistry 14C,contributions_valued,58.22784810126582,79,w3,54.16666666666666,72,-4.061181434599163
690,Chemistry 30A,continuing,75.0,20,w10,78.94736842105263,19,3.94736842105263
25,Chemistry 14B,at_least_c,85.9375,64,w3,89.65517241379311,58,3.7176724137931103
435,Chemistry 30A,seek_help,70.0,20,w10,73.68421052631578,19,3.6842105263157805
694,Chemistry 30A,peers_respect,70.0,20,w10,73.68421052631578,19,3.6842105263157805
22,Chemistry 14B,apply_math,67.1875,64,w3,70.6896551724138,58,3.5021551724137936
80,Chemistry 30A,at_least_c,81.63265306122449,49,w3,85.1063829787234,47,3.4737299174989147
697,Chemistry 30A,work_in_groups,65.0,20,w10,68.42105263157895,19,3.421052631578945
159,Chemistry 14BL,unfamiliar,60.41666666666666,48,w3,57.14285714285714,42,-3.2738095238095184
24,Chemistry 14B,at_least_b,79.6875,64,w3,82.75862068965517,58,3.0711206896551744
429,Chemistry 30A,confident,55.00000000000001,20,w10,57.89473684210527,19,2.89473684210526
306,Chemistry 30A,find_help,55.00000000000001,20,w10,57.89473684210527,19,2.89473684210526
691,Chemistry 30A,contributions_valued,55.00000000000001,20,w10,57.89473684210527,19,2.89473684210526
689,Chemistry 30A,belong,55.00000000000001,20,w10,57.89473684210527,19,2.89473684210526
696,Chemistry 30A,supported_department,55.00000000000001,20,w10,57.89473684210527,19,2.89473684210526
511,Chemistry 14BL,contributions_valued,64.0,50,w3,61.36363636363637,44,-2.636363636363633
693,Chemistry 30A,part_of_community,50.0,20,w10,52.63157894736842,19,2.6315789473684177
436,Chemistry 30A,unfamiliar,50.0,20,w10,52.63157894736842,19,2.6315789473684177
26,Chemistry 14B,find_help,75.0,64,w3,77.58620689655173,58,2.5862068965517295
163,Chemistry 14C,develop_intelligence,94.44444444444444,72,w3,97.01492537313432,67,2.570480928689875
31,Chemistry 14B,understand_study_strats,73.4375,64,w3,75.86206896551724,58,2.4245689655172384
304,Chemistry 30A,asking_questions,45.0,20,w10,47.368421052631575,19,2.368421052631575
516,Chemistry 14BL,supported_department,66.0,50,w3,63.63636363636363,44,-2.363636363636367
3,Chemistry 14A,at_least_c,87.74834437086093,302,w3,90.1060070671378,283,2.3576626962768614
523,Chemistry 14C,part_of_community,75.9493670886076,79,w3,73.61111111111111,72,-2.3382559774964875
42,Chemistry 14BL,understand_study_strats,77.77777777777779,63,w3,80.0,55,2.2222222222222143
512,Chemistry 14BL,instructor_cares,68.0,50,w3,65.9090909090909,44,-2.0909090909090935
82,Chemistry 30A,manage_time,51.02040816326531,49,w3,48.93617021276596,47,-2.0842379504993502
85,Chemistry 30A,succeed,51.02040816326531,49,w3,48.93617021276596,47,-2.0842379504993502
250,Chemistry 14B,asking_questions,46.2962962962963,54,w10,44.230769230769226,52,-2.065527065527071
525,Chemistry 14C,study_buddy,79.74683544303798,79,w3,77.77777777777779,72,-1.9690576652601948
518,Chemistry 14C,be_myself,79.74683544303798,79,w3,77.77777777777779,72,-1.9690576652601948
32,Chemistry 14B,workload,68.75,64,w3,70.6896551724138,58,1.9396551724137936
29,Chemistry 14B,study_habits,68.75,64,w3,70.6896551724138,58,1.9396551724137936
526,Chemistry 14C,supported_department,65.82278481012658,79,w3,63.888888888888886,72,-1.933895921237692
87,Chemistry 30A,workload,55.10204081632652,49,w3,53.191489361702125,47,-1.9105514546243967
311,Chemistry 30A,workload,65.0,20,w10,63.1578947368421,19,-1.8421052631578974
198,Chemistry 30A,seek_help,71.15384615384616,52,w3,69.38775510204081,49,-1.766091051805347
565,Chemistry 30A,study_buddy,57.99999999999999,50,w3,56.25,48,-1.749999999999993
166,Chemistry 14C,motivate,83.33333333333334,72,w3,85.07462686567165,67,1.7412935323383039
168,Chemistry 14C,seek_help,83.33333333333334,72,w3,85.07462686567165,67,1.7412935323383039
193,Chemistry 30A,develop_intelligence,94.23076923076924,52,w3,95.91836734693877,49,1.687598116169525
145,Chemistry 14B,mistakes_are_learning,94.23076923076924,52,w3,95.91836734693877,49,1.687598116169525
566,Chemistry 30A,supported_department,60.0,50,w3,58.333333333333336,48,-1.6666666666666643
200,Chemistry 30A,when_struggle_find_way,73.07692307692307,52,w3,71.42857142857143,49,-1.6483516483516354
196,Chemistry 30A,motivate,73.07692307692307,52,w3,71.42857142857143,49,-1.6483516483516354
162,Chemistry 14C,confident,81.94444444444444,72,w3,83.5820895522388,67,1.6376451077943557
560,Chemistry 30A,continuing,88.0,50,w3,89.58333333333334,48,1.5833333333333428
695,Chemistry 30A,study_buddy,70.0,20,w10,68.42105263157895,19,-1.5789473684210549
688,Chemistry 30A,be_myself,70.0,20,w10,68.42105263157895,19,-1.5789473684210549
194,Chemistry 30A,improve_skills,92.3076923076923,52,w3,93.87755102040816,49,1.569858712715856
515,Chemistry 14BL,study_buddy,78.0,50,w3,79.54545454545455,44,1.5454545454545467
513,Chemistry 14BL,part_of_community,72.0,50,w3,70.45454545454545,44,-1.5454545454545467
185,Chemistry 20A,mistakes_are_learning,94.82758620689656,232,w3,96.34703196347031,219,1.5194457565737594
49,Chemistry 14C,manage_time,67.77777777777779,90,w3,66.26506024096386,83,-1.5127175368139234
254,Chemistry 14B,own_words,61.11111111111112,54,w10,59.61538461538461,52,-1.4957264957265082
255,Chemistry 14B,study_habits,61.11111111111112,54,w10,59.61538461538461,52,-1.4957264957265082
155,Chemistry 14BL,mistakes_are_learning,93.75,48,w3,95.23809523809524,42,1.4880952380952408
77,Chemistry 30A,apply_math,65.3061224489796,49,w3,63.82978723404256,47,-1.4763352149370306
83,Chemistry 30A,own_words,65.3061224489796,49,w3,63.82978723404256,47,-1.4763352149370306
23,Chemistry 14B,asking_questions,35.9375,64,w3,34.48275862068966,58,-1.4547413793103416
144,Chemistry 14B,improve_skills,90.3846153846154,52,w3,91.83673469387756,49,1.4521193092621587
143,Chemistry 14B,develop_intelligence,90.3846153846154,52,w3,91.83673469387756,49,1.4521193092621587
527,Chemistry 14C,work_in_groups,70.88607594936708,79,w3,69.44444444444444,72,-1.4416315049226398
419,Chemistry 20A,confident,84.5303867403315,181,w10,85.96491228070175,171,1.4345255403702595
253,Chemistry 14B,manage_time,62.96296296296296,54,w10,61.53846153846154,52,-1.4245014245014218
257,Chemistry 14B,workload,62.96296296296296,54,w10,61.53846153846154,52,-1.4245014245014218
327,Chemistry 30B,study_habits,72.44444444444444,225,w10,71.02803738317756,214,-1.4164070612668809
192,Chemistry 30A,confident,88.46153846153845,52,w3,89.79591836734694,49,1.3343799058084898
614,Chemistry 14A,peers_respect,78.33333333333333,240,w10,79.65367965367966,231,1.3203463203463315
309,Chemistry 30A,study_habits,75.0,20,w10,73.68421052631578,19,-1.3157894736842195
307,Chemistry 30A,manage_time,75.0,20,w10,73.68421052631578,19,-1.3157894736842195
303,Chemistry 30A,apply_math,75.0,20,w10,73.68421052631578,19,-1.3157894736842195
38,Chemistry 14BL,manage_time,71.42857142857143,63,w3,72.72727272727273,55,1.2987012987013031
197,Chemistry 30A,reflect,78.84615384615384,52,w3,77.55102040816327,49,-1.2951334379905717
28,Chemistry 14B,own_words,37.5,64,w3,36.206896551724135,58,-1.2931034482758648
10,Chemistry 14A,workload,71.8543046357616,302,w3,73.14487632508833,283,1.2905716893267396
449,Chemistry 30B,confident,66.06334841628959,221,w10,64.7887323943662,213,-1.2746160219233786
509,Chemistry 14BL,belong,74.0,50,w3,72.72727272727273,44,-1.2727272727272663
508,Chemistry 14BL,be_myself,76.0,50,w3,77.27272727272727,44,1.2727272727272663
567,Chemistry 30A,work_in_groups,70.0,50,w3,68.75,48,-1.25
562,Chemistry 30A,instructor_cares,80.0,50,w3,81.25,48,1.25
484,Chemistry 14A,peers_respect,77.27272727272727,286,w3,78.51851851851852,270,1.2457912457912528
51,Chemistry 14C,study_habits,71.11111111111111,90,w3,69.87951807228916,83,-1.2315930388219556
522,Chemistry 14C,instructor_cares,87.34177215189874,79,w3,86.11111111111111,72,-1.2306610407876235
249,Chemistry 14B,apply_math,68.51851851851852,54,w10,67.3076923076923,52,-1.2108262108262124
154,Chemistry 14BL,improve_skills,91.66666666666666,48,w3,92.85714285714286,42,1.190476190476204
158,Chemistry 14BL,seek_help,75.0,48,w3,73.80952380952381,42,-1.1904761904761898
541,Chemistry 14D,contributions_valued,63.13559322033898,236,w3,61.94690265486725,226,-1.188690565471731
164,Chemistry 14C,improve_skills,95.83333333333334,72,w3,97.01492537313432,67,1.1815920398009752
191,Chemistry 30A,challenges_are_growth,80.76923076923077,52,w3,79.59183673469387,49,-1.1773940345369027
558,Chemistry 30A,be_myself,78.0,50,w3,79.16666666666666,48,1.1666666666666572
578,Chemistry 30B,be_myself,80.93023255813954,215,w3,82.08955223880598,201,1.1593196806664423
456,Chemistry 30B,unfamiliar,69.23076923076923,221,w10,68.07511737089203,213,-1.1556518598771959
27,Chemistry 14B,manage_time,60.9375,64,w3,62.06896551724138,58,1.1314655172413808
209,Chemistry 30AL,unfamiliar,69.64285714285714,56,w3,68.51851851851852,54,-1.1243386243386198
89,Chemistry 30AL,asking_questions,69.64285714285714,56,w3,68.51851851851852,54,-1.1243386243386198
7,Chemistry 14A,study_habits,74.50331125827815,302,w3,75.61837455830388,283,1.1150633000257386
195,Chemistry 30A,mistakes_are_learning,84.61538461538461,52,w3,85.71428571428571,49,1.098901098901095
37,Chemistry 14BL,find_help,82.53968253968253,63,w3,83.63636363636363,55,1.0966810966810954
505,Chemistry 14B,study_buddy,84.90566037735849,53,w3,86.0,50,1.0943396226415132
487,Chemistry 14A,work_in_groups,80.76923076923077,286,w3,81.85185185185185,270,1.082621082621074
2,Chemistry 14A,at_least_b,89.73509933774835,302,w3,90.81272084805654,283,1.077621510308191
425,Chemistry 20A,seek_help,88.39779005524862,181,w10,89.47368421052632,171,1.0758941552776946
483,Chemistry 14A,part_of_community,86.7132867132867,286,w3,87.77777777777777,270,1.0644910644910652
631,Chemistry 14B,contributions_valued,46.15384615384615,52,w10,45.09803921568628,51,-1.0558069381598756
692,Chemistry 30A,instructor_cares,80.0,20,w10,78.94736842105263,19,-1.05263157894737
4,Chemistry 14A,find_help,89.0728476821192,302,w3,90.1060070671378,283,1.0331593850185925
46,Chemistry 14C,at_least_b,87.77777777777777,90,w3,86.74698795180723,83,-1.030789825970544
416,Chemistry 14D,unfamiliar,66.2962962962963,270,w10,65.2671755725191,262,-1.0291207237772113
179,Chemistry 14D,unfamiliar,65.98360655737704,244,w3,64.95726495726495,234,-1.0263416001120902
630,Chemistry 14B,continuing,48.07692307692308,52,w10,47.05882352941176,51,-1.0180995475113193
549,Chemistry 20A,belong,86.14718614718615,231,w3,87.1559633027523,218,1.0087771555661504
295,Chemistry 20A,asking_questions,78.53107344632768,177,w10,79.53216374269006,171,1.0010902963623778
563,Chemistry 30A,part_of_community,74.0,50,w3,75.0,48,1.0
123,Chemistry 14A,develop_intelligence,97.46376811594205,276,w3,98.46153846153848,260,0.997770345596436
500,Chemistry 14B,continuing,83.01886792452831,53,w3,84.0,50,0.9811320754716917
121,Chemistry 14A,challenges_are_growth,90.94202898550724,276,w3,91.92307692307692,260,0.9810479375696843
369,Chemistry 14B,confident,50.0,52,w10,49.01960784313725,51,-0.9803921568627487
611,Chemistry 14A,contributions_valued,69.58333333333333,240,w10,70.56277056277057,231,0.979437229437238
45,Chemistry 14C,asking_questions,45.55555555555556,90,w3,44.57831325301205,83,-0.9772423025435089
576,Chemistry 30AL,supported_department,75.47169811320755,53,w3,74.50980392156863,51,-0.961894191638919
572,Chemistry 30AL,instructor_cares,75.47169811320755,53,w3,74.50980392156863,51,-0.961894191638919
581,Chemistry 30B,contributions_valued,57.674418604651166,215,w3,56.71641791044776,201,-0.9580006942034061
579,Chemistry 30B,belong,85.11627906976744,215,w3,86.06965174129353,201,0.9533726715260826
636,Chemistry 14B,supported_department,51.92307692307693,52,w10,50.98039215686274,51,-0.9426847662141853
676,Chemistry 14D,supported_department,67.83216783216784,286,w10,66.90647482014388,278,-0.9256930120239559
559,Chemistry 30A,belong,78.0,50,w3,77.08333333333334,48,-0.9166666666666572
424,Chemistry 20A,reflect,85.6353591160221,181,w10,86.54970760233918,171,0.9143484863170812
376,Chemistry 14B,unfamiliar,53.84615384615385,52,w10,52.94117647058824,51,-0.9049773755656076
149,Chemistry 14B,unfamiliar,51.92307692307693,52,w3,51.02040816326531,49,-0.9026687598116183
679,Chemistry 20A,belong,90.12345679012346,162,w10,91.02564102564102,156,0.9021842355175664
153,Chemistry 14BL,develop_intelligence,89.58333333333334,48,w3,90.47619047619048,42,0.8928571428571388
585,Chemistry 30B,study_buddy,84.18604651162791,215,w3,85.07462686567165,201,0.8885803540437394
571,Chemistry 30AL,contributions_valued,77.35849056603774,53,w3,76.47058823529412,51,-0.8879023307436285
323,Chemistry 30B,at_least_c,89.77777777777777,225,w10,90.65420560747664,214,0.8764278296988692
289,Chemistry 14D,manage_time,66.66666666666666,318,w10,65.79804560260585,307,-0.8686210640608039
499,Chemistry 14B,belong,81.13207547169812,53,w3,82.0,50,0.8679245283018844
142,Chemistry 14B,confident,80.76923076923077,52,w3,81.63265306122449,49,0.8634222919937145
95,Chemistry 30AL,study_habits,76.78571428571429,56,w3,75.92592592592592,54,-0.859788359788368
208,Chemistry 30AL,seek_help,76.78571428571429,56,w3,75.92592592592592,54,-0.859788359788368
485,Chemistry 14A,study_buddy,83.21678321678321,286,w3,84.07407407407408,270,0.8572908572908631
102,Chemistry 30B,at_least_c,84.50704225352112,213,w3,85.35353535353535,198,0.8464931000142286
293,Chemistry 14D,workload,67.29559748427673,318,w10,66.44951140065146,307,-0.8460860836252664
671,Chemistry 14D,contributions_valued,58.39160839160839,286,w10,57.55395683453237,278,-0.8376515570760219
43,Chemistry 14BL,workload,68.25396825396825,63,w3,69.0909090909091,55,0.8369408369408404
294,Chemistry 20A,apply_math,90.3954802259887,177,w10,91.2280701754386,171,0.832589949449897
553,Chemistry 20A,part_of_community,83.11688311688312,231,w3,83.94495412844036,218,0.8280710115572418
613,Chemistry 14A,part_of_community,87.91666666666667,240,w10,88.74458874458875,231,0.8279220779220822
213,Chemistry 30B,develop_intelligence,97.2093023255814,215,w3,98.0295566502463,203,0.8202543246649014
423,Chemistry 20A,motivate,83.97790055248619,181,w10,84.7953216374269,171,0.8174210849407046
575,Chemistry 30AL,study_buddy,79.24528301886792,53,w3,78.43137254901961,51,-0.8139104698483095
582,Chemistry 30B,instructor_cares,90.23255813953487,215,w3,91.04477611940298,201,0.8122179798681088
329,Chemistry 30B,workload,75.1111111111111,225,w10,74.29906542056075,214,-0.8120456905503488
375,Chemistry 14B,seek_help,59.61538461538461,52,w10,58.82352941176471,51,-0.7918552036199031
433,Chemistry 30A,motivate,85.0,20,w10,84.21052631578947,19,-0.7894736842105345
308,Chemistry 30A,own_words,85.0,20,w10,84.21052631578947,19,-0.7894736842105345
6,Chemistry 14A,own_words,74.83443708609272,302,w3,75.61837455830388,283,0.7839374722111643
79,Chemistry 30A,at_least_b,81.63265306122449,49,w3,80.85106382978722,47,-0.7815892314372661
54,Chemistry 14C,workload,62.22222222222222,90,w3,61.44578313253012,83,-0.7764390896921043
99,Chemistry 30B,apply_math,83.56807511737088,213,w3,84.34343434343434,198,0.7753592260634576
165,Chemistry 14C,mistakes_are_learning,90.2777777777778,72,w3,91.04477611940298,67,0.7669983416251824
71,Chemistry 20A,manage_time,81.27490039840637,251,w3,80.50847457627118,236,-0.7664258221351901
183,Chemistry 20A,develop_intelligence,97.41379310344828,232,w3,98.17351598173516,219,0.7597228782868797
498,Chemistry 14B,be_myself,79.24528301886792,53,w3,80.0,50,0.7547169811320771
141,Chemistry 14B,challenges_are_growth,78.84615384615384,52,w3,79.59183673469387,49,0.7456828885400313
568,Chemistry 30AL,be_myself,81.13207547169812,53,w3,80.3921568627451,51,-0.739918608953019
59,Chemistry 14D,find_help,89.51612903225806,248,w3,90.2542372881356,236,0.7381082558775347
670,Chemistry 14D,continuing,61.88811188811189,286,w10,61.15107913669065,278,-0.7370327514212391
212,Chemistry 30B,confident,87.44186046511628,215,w3,88.17733990147784,203,0.7354794363615582
211,Chemistry 30B,challenges_are_growth,87.44186046511628,215,w3,88.17733990147784,203,0.7354794363615582
202,Chemistry 30AL,confident,80.35714285714286,56,w3,79.62962962962963,54,-0.7275132275132279
98,Chemistry 30AL,workload,80.35714285714286,56,w3,79.62962962962963,54,-0.7275132275132279
206,Chemistry 30AL,motivate,80.35714285714286,56,w3,79.62962962962963,54,-0.7275132275132279
207,Chemistry 30AL,reflect,80.35714285714286,56,w3,79.62962962962963,54,-0.7275132275132279
510,Chemistry 14BL,continuing,78.0,50,w3,77.27272727272727,44,-0.7272727272727337
583,Chemistry 30B,part_of_community,81.86046511627907,215,w3,82.58706467661692,201,0.7265995603378457
409,Chemistry 14D,confident,76.29629629629629,270,w10,75.57251908396947,262,-0.7237772123268229
422,Chemistry 20A,mistakes_are_learning,92.26519337016576,181,w10,92.98245614035088,171,0.7172627701851155
501,Chemistry 14B,contributions_valued,54.71698113207547,53,w3,54.0,50,-0.7169811320754675
64,Chemistry 14D,understand_study_strats,88.70967741935483,248,w3,89.40677966101694,236,0.6971022416621082
81,Chemistry 30A,find_help,83.6734693877551,49,w3,82.97872340425532,47,-0.6947459834997858
353,Chemistry 14A,motivate,85.14056224899599,249,w10,85.83333333333333,240,0.6927710843373376
486,Chemistry 14A,supported_department,80.41958041958041,286,w3,81.11111111111111,270,0.6915306915307013
427,Chemistry 20A,when_struggle_find_way,91.71270718232044,181,w10,92.39766081871343,171,0.68495363639299
350,Chemistry 14A,develop_intelligence,95.98393574297188,249,w10,96.66666666666669,240,0.6827309236948054
0,Chemistry 14A,apply_math,89.0728476821192,302,w3,89.75265017667844,283,0.6798024945592402
298,Chemistry 20A,manage_time,80.7909604519774,177,w10,80.11695906432749,171,-0.6740013876499091
479,Chemistry 14A,belong,86.36363636363636,286,w3,87.03703703703704,270,0.6734006734006783
73,Chemistry 20A,study_habits,76.09561752988047,251,w3,75.42372881355932,236,-0.6718887163211491
573,Chemistry 30AL,part_of_community,83.01886792452831,53,w3,82.35294117647058,51,-0.6659267480577284
69,Chemistry 20A,at_least_c,90.4382470119522,251,w3,91.10169491525424,236,0.6634479033020426
170,Chemistry 14C,when_struggle_find_way,88.88888888888889,72,w3,89.55223880597015,67,0.6633499170812627
93,Chemistry 30AL,manage_time,82.14285714285714,56,w3,81.48148148148148,54,-0.6613756613756578
478,Chemistry 14A,be_myself,86.01398601398601,286,w3,86.66666666666667,270,0.6526806526806581
520,Chemistry 14C,continuing,92.40506329113924,79,w3,93.05555555555556,72,0.6504922644163145
709,Chemistry 30B,belong,83.73205741626795,209,w10,83.08457711442786,201,-0.6474803018400905
235,Chemistry 14A,manage_time,84.375,256,w10,85.02024291497976,247,0.6452429149797609
252,Chemistry 14B,find_help,83.33333333333334,54,w10,82.6923076923077,52,-0.6410256410256494
233,Chemistry 14A,at_least_c,95.3125,256,w10,95.95141700404858,247,0.6389170040485794
517,Chemistry 14BL,work_in_groups,88.0,50,w3,88.63636363636364,44,0.6363636363636402
124,Chemistry 14A,improve_skills,97.82608695652172,276,w3,98.46153846153848,260,0.6354515050167606
546,Chemistry 14D,supported_department,65.67796610169492,236,w3,65.04424778761062,226,-0.6337183140843052
587,Chemistry 30B,work_in_groups,80.46511627906978,215,w3,81.09452736318407,201,0.6294110841142952
544,Chemistry 14D,peers_respect,75.84745762711864,236,w3,75.22123893805309,226,-0.6262186890655528
413,Chemistry 14D,motivate,79.62962962962963,270,w10,79.00763358778626,262,-0.6219960418433743
291,Chemistry 14D,study_habits,73.58490566037736,318,w10,72.9641693811075,307,-0.6207362792698632
418,Chemistry 20A,challenges_are_growth,90.60773480662984,181,w10,91.2280701754386,171,0.6203353688087674
322,Chemistry 30B,asking_questions,69.77777777777779,225,w10,69.1588785046729,214,-0.618899273104887
716,Chemistry 30B,supported_department,72.24880382775119,209,w10,71.64179104477611,201,-0.607012782975076
39,Chemistry 14BL,own_words,66.66666666666666,63,w3,67.27272727272727,55,0.6060606060606091
640,Chemistry 14BL,continuing,54.03508771929825,285,w10,53.42960288808665,277,-0.6054848312115979
506,Chemistry 14B,supported_department,56.60377358490566,53,w3,56.00000000000001,50,-0.6037735849056531
634,Chemistry 14B,peers_respect,69.23076923076923,52,w10,68.62745098039215,51,-0.6033182503770718
637,Chemistry 14B,work_in_groups,69.23076923076923,52,w10,68.62745098039215,51,-0.6033182503770718
94,Chemistry 30AL,own_words,83.92857142857143,56,w3,83.33333333333334,54,-0.5952380952380878
156,Chemistry 14BL,motivate,79.16666666666666,48,w3,78.57142857142857,42,-0.5952380952380878
157,Chemistry 14BL,reflect,87.5,48,w3,88.09523809523809,42,0.5952380952380878
152,Chemistry 14BL,confident,79.16666666666666,48,w3,78.57142857142857,42,-0.5952380952380878
160,Chemistry 14BL,when_struggle_find_way,79.16666666666666,48,w3,78.57142857142857,42,-0.5952380952380878
92,Chemistry 30AL,find_help,83.92857142857143,56,w3,83.33333333333334,54,-0.5952380952380878
