nervous,count,tags
The exams,6,EX001
Exams,3,EX001
The exams.,2,EX001
The final,2,EX007
the difficulty of exams as compared to class work,2,EX003
The difficulty of the exams.,2,EX003
getting an A,2,PR003
Midterms and the final.,2,EX001+EX007
How different it'll be from high-school chemistry and the difficulty of the exams,2,TR004+EX003
I am most nervous about falling behind and not having the proper study techniques to ensure I am learning to the best of my ability.,2,PR001+ST001
final exam,2,EX007
I’m most nervous about being able to succeed and recall old information from classes to be able to complete assignments or exams.,1,PR005+CN001
I am most nervous about taking the whole lab period and still not finishing my experiments. I am also nervous about feeling rushed in the lab period causing me to feel like I’m not fully understanding what I am completing.,1,LAB003
I switched in 2 days ago and gotta catch up,1,PR001
I am a transfer student so it is scary coming across this class as one of my first, it’s very fast paced and it feels like the lecturer is 10 steps ahead when I barely had enough time to catch up to the content. Just struggling a bit you may say.,1,TR001+PC001+PR001
How the curve will be on my class, which is supposedly quite fair so.,1,EX006
Managing the workload of two postlabs and prelabs a week,1,PC002
takes a lot of time,1,PC002+PC004
Being able to understand why I use certain equations and not just plugging values in,1,CN003+CN004
I'm not sure where to begin in terms of studying concepts I don't understand.,1,ST001+CN003
That I am not going to understand the topic and will fall far behind.,1,CN003+PR001
Not mastering concepts before the exam,1,CN003+EX004
everyone struggles w chem at this school so i am scared for the midterms and that i will be unprepared!,1,RP002+EX001+EX004
I am not particularly proficient in English, so I am slightly nervous about communicating and clarifying my academic questions and concerns in English in a way that is clear and concise enough for others to understand.,1,CM001+CM002
I'm most nervous about keeping up with all the concepts. I feel like they all build off of each other, so if I don't understand something in the beginning of the class then it'll be hard for me to understand the future topics.,1,PR001+CN003
I was nervous about the speed of the class, but Dr. Lavelle has so many resources available, that I feel very well supported.,1,PC001
I'm nervous about the midterm because even though I understand the material, I don't feel confident about my knowledge.,1,EX001+PF001
Having enough time to properly learn all the reactions to the required extent.,1,PC004+CN002
Balancing the workload with other courses.,1,PC005
not passing,1,PR002
Adjusting to being on a new campus and earning my first GPA! I earned a high B in my last organic chemistry class and I’m nervous for this one.,1,TR006+PR004
not remembering 30a stuff,1,FND002
I know that I am going to have to do a lot of practice problems to understand it and I don't know if I have enough time to study for all my classes.,1,ST003+PC005
Just memorizing and being able to apply mechanisms when it comes to the test.,1,CN001+CN002+CN005
Seeing exam questions on topics that were only mentioned in 30A yet never being reviewed in 30B,1,FND002+EX001
Managing my time and finding the right study method for me.,1,PC004+ST001
Balancing courseload. And also remembering contents from the previous chemistry class,1,PC005+CN001
As a transfer student, it's nerve wracking to consistently hear "your knowledge from 30A" when I haven't taken that course. I have no idea what concepts from my previous organic chemistry class coincide with "30A knowledge". I feel very overwhelmed and lost.,1,TR001+FND001
That my other classes will reduce the amount of time I have for this class. I know how long I will need to spend to get an A in 30B after my experience in 30A, so I am just nervous about whether I will have the time available to do so.,1,PC005+PC004
Transferring from community college,1,TR001
memorizing all the reactions needed for synthesis and mechanisms,1,CN001+CN002
I am most nervous about forgetting how to use certain lab equipment. Before lab, I have been trying to refresh my memory by watching short tutorials. So far, everything is going smoothly and I am finishing lab sessions before the end time.,1,LAB001
Time management and exams.,1,PC004+EX001
I am not confident in a lot of the Chem 30A concepts because I transferred from a CC and my professor focused on memorization rather than understanding O-chem.,1,TR001+CN001+CN003
I'm nervous about the tests and midterms.,1,EX001
I am most nervous about balancing my time. I'm taking a lot of content-intensive STEM classes and I need to make sure I have enough time to study all of them.,1,PC004+PC005
Staying on track with studying the concepts and doing practice problems consistently.,1,PR001+ST003
Remembering content from the last chemistry course I took and applying it to this course,1,FND001+CN005
Nothing Pham is great,1,MT001
Amount of mechanisms that will need to be remembered by the final.,1,CN002+CN001+EX007
This class is pretty study intensive and with the rest of my workload I have some personal concerns about time and stress management but this is less to do with the class itself but more cause I've taken on a pretty intense workload.,1,PC002+PC004+PF005
Memorizing/remembering all the reagents, and their names; that's what I struggled with the most in 30A,1,CN001+CN002
I’m most nervous about not having taken a co-req for this class because it’s not required for my major.,1,FND001
Because this class is significantly more content, I am most nervous to memorize or be able to answer so many different reactions.,1,PC003+CN001+CN002
The course structure is confusing; homework assignments and other materials aren't as clear as in my other classes.,1,LG001
Understanding the formulas and conversions,1,CN003+CN004
I'm just talking a lot of STEM prereqs right now so I'm worried about how I will manage my time while trying to do well in all of them,1,PC005+PC004
doing well,1,PR005
I am nervous about the amount of content in this course. 30A was a little rough for me, so for this course, I am trying different study habits. I would still like more information on where I can potentially get more help, including chem tutoring.,1,PC003+MT004+ST001
I'm most nervous for the final as my memory regarding the experiments tend to waver. They are not recorded down besides our observations, so I get worried about forgetting what goes on during the experiment to apply to the final.,1,EX007+CN001
The amount of concepts you have to memorize and how fast pace the course is.,1,CN001+PC001
I don't feel as confident in my 30A knowledge, which scares me a lot, because a lot of the content in 30B is built on the knowledge in 30A. However, as long as I brush up on my 30A knowledge, I should feel less nervous.,1,FND002+PF001
Summer took away by Chem 30A knowledge :(,1,FND002
Workload,1,PC002
Studying the right way and understanding the content/problems,1,ST001+CN003
It’s been a while since I took a chemistry course in high school.,1,FND004
Studying on own and just making sure that I am doing everything I can to understand the material,1,ST005+CN003
I’m nervous about not being able to keep up.,1,PR001
I have a hard time being able to hear and write at the same time which makes absorbing information in a large class very difficult.,1,LG004+LG003
The last time I took chemistry was my freshmen year of high school, so my foundation in basic chemistry isn’t the strongest which I am most nervous about.,1,FND003+FND001
The tests and how to prepare,1,EX001+EX004
I’m most nervous about the work load but not only that, being able to study on my own. I feel that I sometimes fall behind on textbook readings or have a hard time understanding the lectures. I’m also slow on completing the hw problems and i worry how that might affect my performance on the tests.,1,PC002+ST005+EX001
Not performing well on the midterms and the final,1,EX001+EX007
I am most nervous for the sheer amount of mechanisms, and in turn reagents required for this course. The reagents specifically come down to a lot of memorization, which generally is my worst skill in terms of science since I can't really derive it too easily, if it all.,1,CN002+CN001
Remembering the chemistry I took sophomore while also maintaining and understanding the new chem information I am learning.,1,FND004+CN003
I feel im not very good at chemistry,1,PF004
I'm nervous that I will be unprepared for the final like I was last year. I had all of my finals the same day and that really messed up my study method, but I planned my schedule this year a lot better so I think I will be ok.,1,EX004+EX007
Remembering material from 30A,1,FND002
That it builds off of concepts from the previous course and I was already  struggling with understanding that material.,1,CN003+MT004
Caveat - I've taken orgo before.,1,MT004
The amount of concepts that I need to understand the actual structural component of molecules as 3D but they’re presented in a 2D form - which makes it difficult for me.,1,CN006
A lot of my really smart friends struggled in this course before so I'm a little nervous but so far it's going good.,1,RP002
I forgot most of what I learned in gen chem so I'm lowk cooked,1,FND001
Everyone said ochem is hard, so I guess we shall see,1,RP001
Reminding myself of all the 30A content!,1,FND002
30a :(,1,FND002
I am nervous about the pace of this course and being able to process and understand concepts quick enough.,1,PC001+CN003
I am not too nervous, but I heard the later chemistry classes get harder.,1,RP001
Lack of one on one interaction with professor.,1,LG004
Organic chemistry isn’t as straightforward as gen chem so I’m nervous I may not be able to understand and apply more abstract concepts as well.,1,CN003
Exams.,1,EX001
The cumulative application of content on the exams.,1,EX007+CN005+EX001
Not being able to translate my understanding of the concepts to calculation problems on tests,1,CN005+EX001
the horrors of organic chemistry,1,RP003
Studying and doing the Finals and Midterms,1,ST001+EX001+EX007
Midterm and Final,1,EX001+EX007
Memorization, remembering the small details,1,CN001
Balancing everything...,1,PC006
Probably THR expanding and reactions,1,MT003+CN002
I’m worried about the test format,1,EX002
Material from 30A,1,FND002
I am most nervous about developing efficient/effective study habits that will help me retain all the information that this course will test me on as the quarter progresses. I am slightly concerned at the difficulty level of questions and how well I will be able to handle them.,1,ST001+CN001+EX003
I’m nervous about the test format,1,EX002
Time management,1,PC004
I am most nervous about the midterms and finals since they are a heavy chunk of our grade.,1,EX001+EX007+PR003
Understanding diagrams and visualizations for exams,1,CN006+EX001
My professor likes to go into some details but unclear with whether we should know or not. Lectures are also little unorganized that makes hard to follow and hard to study by myself.,1,TR005+LG001
I am nervous for the tests, and the problem sets.,1,EX001+ST003
I am nervous that I don't have enough knowledge from my previous chemistry class to complete this class.,1,FND001
The curve. I am worried when I have to set myself above others and not above a certain benchmark to get the grade I want.,1,EX006+PR003
I am most nervous about the amount of memorization required as well as the fast pace of this class on the quarter system. I also am worried about relearning all the reactions from 30A while simultaneously learning the new material. And lastly, I am nervous about having this midterm back to back right after my 2 hour Bioengineering 100 midterm.,1,CN001+PC001+FND002+EX001+EX008
I am retaking this course and am nervous about making the same mistakes. I am working hard to develop my study strategies, time management, and beyond in order to excel this time around.,1,MT004+ST001+PC004
Elimination reactions,1,MT003+CN002
Drawing the products in the reactions :/
and studying the right material for the exams,1,CN002+ST006
I am most nervous about not doing as well on an exam, especially because I haven't taken an exam since may, and I won't be taking one until the end of the month.,1,EX001
The content moves very quickly and builds on itself, so I'm worried I might fall behind if I have a bad week with other stuff.,1,PC001+PR001
I’m not sure how to balance my time, esp since classes are really short and I’m super busy this quarter,1,PC004+PC006
I am the most nervous about memorizing the key reactions and their mechanisms for chem 14D,1,CN001+CN002
A lack of practice exam problems, leaving me completing in the dark when it comes to taking and passing the exam.,1,ST003+EX004
I am most worried about having avoidable errors by forgetting to apply the correct dog figs, stereochemistry, or concept applications because they require a strong foundational understanding,1,CN001+CN005
Being behind and not understanding lecture. The exams. I’m afraid of not being able to do the exam style questions. Afraid that what I believe to be strong understanding is not enough,1,PR001+LG003+EX001+EX002
I’m most nervous about being able to stay on top of the learning and material covered and practice it consistently.,1,PR001+ST003
I have heard that this course is the most difficult of all the chemistry courses, so I want to ensure that I know all I need to know before taking an exam.,1,RP001+EX004
Having 3 midterms on the same day...,1,EX008
The time commitment with my other upper division classes and the amount of content in 10 weeks that will be learned,1,PC004+PC005+PC003
Midterm and finals,1,EX001+EX007
Adjusting to the workload and remembering high school concepts,1,PC002+FND003
the exams!!!,1,EX001
Organizing myself to find enough time to study for this class.,1,PC004
I may take longer to understand concepts.,1,CN003
quantum mechanics,1,MT003+CN004
I am nervous about the workload and concepts being too much and too fast to understand. I think I understand the concepts, but when I try to do practice problems, I am often lost.,1,PC002+CN003+ST003
I am nervous I am going to fall behind. Especially when things get confusing or I forget some of the basics, and I always feel one-step behind. Sometimes I understand lecture, but I can't seem to practice so I get it on my own terms. That is something I know I need to work on, as well as try and practice.,1,PR001+FND001+ST003
Definitely the material because so far I’ve been struggling to keep up with the lessons as it seems like it is expected to already have learned the material and essentially be “exceptional” at it already.,1,PR001
exam format and timing,1,EX002+EX005
The amount of content there is to memorize for each reaction.,1,PC003+CN001
Im nervous about the pace of the class and the pace at which a lot of information is being thrown at me.,1,PC001
The amount of content covered within a short time,1,PC003+PC001
The amount of concepts and mechanisms covered in a short time,1,CN002+PC001
bringing back and building upon high school chemistry knowledge,1,FND003
falling behind,1,PR001
The reputation of difficulty,1,RP001
I am most nervous about the cumulative final.,1,EX007
Not being able to understand something, which puts me behind everything.,1,CN003+PR001
I'm most nervous about not understanding a concept towards the beginning that is built upon later in the quarter, because I think it would cause me to struggle a lot.,1,CN003
Learning the material as we are taught and not just once I have to do the homework,1,CN003
the course being on zoom has been very difficult for me, especially being in breakout rooms during discussion where i feel like im the only one talking and not able to get help from my group,1,LG005
Being prepared for the tests,1,EX004
I am most nervous about the amount of content I need to understand.,1,PC003
running out of time on exams,1,EX005
I am most nervous about keeping up with all the material in this class and being ready for the exams when they come.,1,PR001+EX004
Not considering or remembering the multifarious little details of ochem in my answers on tests, resulting in loss of points,1,CN001+EX001
I am nervous about the absence of a small classroom setting we usually get in discussions. The lack of smaller class sizes this year due to zoom discussions makes it harder to ask more one on one questions that might take longer to answer. As a student, I feel disconnected from the educational team.,1,LG004
The workload and other classes I need to proritize as well,1,PC002+PC005
I want to be able to do better than I did in CHEM30A. The exams were harder than the PSs. I think my approach last quarter was taking too much time, rewriting lecture notes instead of applying knowledge. I am writing notes on the slides, and hopefully I will do more practice problems, and definitely reach out for more help during OH and disc.,1,MT004+FND002+EX001+ST001
Balancing it with my other classes’ workload,1,PC005
I am nervous because there is a lot of information from highscool chemistry that I do not remeber, since I took it in 11th grade and it isn't fresh in my mind, and I am worried I do not have a good enough foundation to do good.,1,FND003+FND001
I am probably most nervous for exams, I guess I just don’t have a great sense of what a college exam looks like and that’s a little nerving.,1,EX001+TR003
I am nervous about all of the memorization needed,1,CN001
complex formulas,1,CN004
I am most nervous about when it comes to finals and midterms how I will choose to study and prepare.,1,EX001+EX007+ST001
Staying on top of everything really. Nothing specific.,1,PR001+MT005
Getting below an A. This is "supposed" to sorta be review from AP Chem, which I did quite well in and really enjoyed. If I can't excel with chemistry I already know, then I'm worried I won't do all that great in new chemistry classes.,1,PR003+FND003
Remembering deadlines,1,LG002
I'm nervous because I am unsure of what tests will be like. The intimidating sounding concepts also make me feel very nervous.,1,EX002+CN003
Completely new content that doesn't seem to be clicking as fast as others.,1,CN003
I have a hard time studying for ochem as it doesn't come intuitively to me.,1,ST001+CN003
I heard that the pace of the course is fast, and I am most nervous about keeping up with the lecture material and homework problems so I will be in good shape for the midterms and final.,1,PC001+PR001+EX001
Midterms,1,EX001
I often feel like chemistry is the kind of course where students (at least me personally) always have to learn the content a bit on their own to fully grasp what is hard to understand in lectures, and since that's so time-consuming and we're managing other difficult classes, there feels like little to no time to practice, which is beyond crucial.,1,PC004+PC005+ST003
The pacing. It seems like we're going through it kind of slowly right now so I'm worried its going to speed up super fast at the end and I wont be able to keep up. I also wish I could see an example of what questions will be on the exams so I could feel more prepared.,1,PC001+ST003
My grade,1,PR003
I am a bit nervous about some of the more difficult conceptual aspects of the course. However, so far my professor has done a good job at explaining some of these concepts.,1,CN003
I am most nervous about the complexity of the topics and the number of issues we cover, but I am prepared to do whatever I need to do to prepare.,1,CN003+PC003
The midterms,1,EX001
A lot of 20L content is mentioned, but it's been two quarters and a summer since I did anything related to the chemistry labs at UCLA which include this content. I'm worried about how the midterm will be, remembering how to calculate certain values or understanding concepts.,1,FND002+EX001
Whether or not I'll do well. I come straight out of high school so I don't know if my study habits will work and carry me as well. I am also worried about the math related to chemistry (I'm pretty not great at it). I am also worried if I can manage my time properly to succeed in my classes.,1,PR005+TR004+ST001+CN004+PC004
mid term,1,EX001
I am pretty nervous about the speed of this course, as I am only used to the speed in high school courses.,1,PC001+TR004
Understanding the concepts fast enough to be prepared for the midterms that come up super fast.,1,PC001+EX001
As Ochem is just known to be difficult, I have been nervous about the amount of information and the difficulty of the course. However, I believe the course provides the resources and help to guide me to success, I just need to utilize them and my time well and effectively.,1,RP001+PC003
The amount of midterms and the transition to a college level course.,1,EX001+TR004
I just feel that there is a lot of workload for this class, as we need to complete a pre and post-lab for each experiment with 2 experiments per week. I really need to manage my time well with other classes.,1,PC002+LAB002+PC005
THE MIDTERMS!!!!,1,EX001
30A concepts that i didnt fully understand,1,FND002+CN003
I am most nervous about naming conventions for organic molecules.,1,CM003
20L concepts i need to review,1,FND002
Everything,1,MT002
The pace in relation to timing of exams,1,PC001+EX005
I'm nervous for midterms/finals since I sometimes forget some things (especially from the beginning). Ultimately, though, my preparedness is left in my hands.,1,EX001+EX007+CN001
I am just nervous about my lack of prior chem knowledge, and the transition between a smaller learning space to a large one.,1,FND001+TR006
passing the class. I hope to get at least a C to be able to fufill my major requirement, but the class is taught very fast and have always had difficulty leanring chemistry,1,PR002+PC001+CN003
Getting behind,1,PR001
I am worried about falling behind early,1,PR001
I did poorly in Chem 14AE because I had trouble understanding the course content. I am worried that if I had difficulty in the first chemistry course, I will have trouble with future chemistry courses. However, I am aware of available resources and will take advantage of them if necessary.,1,MT004+CN003
I am most nervous I won't be able to predict which mechanism will be used for a reaction.,1,CN002+CN005
I feel like I don't really know how to apply the concepts to actual problems.,1,CN005
I am a transfer student, and my worry is about the change from the semester system to the quarter system and how this fast-paced learning will be more difficult than what I am used to.,1,TR001+PC007
N/A.,1,MT005
The time commitment associated with 2 post-labs, 2 pre-labs, and 6 hours of labs every week.,1,PC004+LAB002
I heard that the final only consists of a few questions so if I accidentally get one wrong, there will be a huge reduce to my grade.,1,EX007+EX002
Test anxiety because it always gets the best on me,1,EX009
The magnitude of content that we have to know and knowing how to actually apply the content. (conceptually understanding the content beyond baseline understanding),1,PC003+CN005
Not being able to apply myself on an exam or prepare enough, however I am putting in effort to keep up with the material and do practice problems,1,CN005+EX004
I'm most nervous about tackling new concepts that I haven't seen before, especially because we are moving at a pace that is faster than I'm used to.,1,CN003+PC001
Unpredictability of exams, and small mistakes slipping through on homeworks,1,EX003+EX001
I am extremely slow in understanding and the concepts don't just "click" for me. While I spend hours making sure I understand the initial concepts, I feel like the course moves faster than I can. I also believe that if I don't master the first few concepts I am literally unable to move on, which usually has proven to be true.,1,CN003+PC001+ST001
The fast pace of the course and staying on top of learning new topics.,1,PC001+PR001
I'm nervous about the exams,1,EX001
Keeping up with the work, and understanding all the concepts as the class accelerates,1,PR001+CN003
The material seems more complex than in past chemistry courses.,1,CN003
I worry about not get a,1,PR003
Test and midterm structures,1,EX002
Understanding all of the concepts,1,CN003
Taking a midterm for the first time, taking a final exam worth most of my grade, free response questions rather than MCQ, is partial credit for work shown given?,1,EX001+TR002+EX007+EX002
EVerything but i am prepared,1,MT002
everything but i am prepared,1,MT002
I am most nervous about taking chemistry my first quarter of college because chemistry is not my strongest subject, and I strive to succeed in this course. I know that I must manage my time efficiently and develop good study habits in order to have success in this course.,1,TR002+PC004+ST001
I am most nervous about getting into actual chemistry concepts. Currently we are only doing math, which is one of my strong suits. My friend who took AP Chem listed off concepts that sounded hard; however I’m sure with a little studying I can get it!,1,CN003+CN004+FND003
Having to memorize too much content.,1,CN001+PC003
ochem is hard,1,RP001
weak 14C background -> need to put in extra work,1,FND001
I forgot the material from ochem 1 and since i transferred from a community college i kinda feel like an outsider.,1,CN001+TR001+PF002
The sheer volume of content. I am not sure how to learn everything so quickly.,1,PC003
I am most nervous about the pace of this course. Chemistry, and organic chemistry in particular, requires students to memorize (and deeply understand) a litany of concepts very quickly. I just hope I can keep up.,1,PC001+CN001+PR001
